gene_symbol,ensembl_id,mechanism_layer,stage4_signature,expected_direction,stage4_signature_risk_rho,stage4_external_consistency,stage4_matches_predefined_direction,tcga_mrna_available,tcga_mrna_risk_spearman,tcga_mrna_risk_p_value,tcga_mrna_direction_matches_layer,in_stage2d_fixed_input_genes,hpa_status_before_query,cptac_status_before_query,priority_rank_within_layer,selection_rationale,candidate_priority_score,supported_by_HPA,hpa_support_status,evidence_level,cptac_available,cptac_availability_status,sample_count,mean_abundance,missing_fraction,comparison_basis,effect,stage5b_direction_p_value,consistent_with_stage4,cox_available,hazard_ratio_per_sd,ci95_lower,ci95_upper,survival_p_value,fdr_bh,cptac_direction_consistent_nominal,supported_by_CPTAC_quantitative,supported_by_HPA_and_CPTAC,stage5b_evidence_level,cptac_interpretation_note
JCHAIN,ENSG00000132465,dendritic_b_plasma_context,dendritic_b_plasma_cells,higher_in_low_risk,-0.2675066718515191,composite_low_risk_immune_context,True,True,-0.3144672092657487,5.230877895548165e-13,True,True,pending_stage5_hpa_validation,pending_stage5_cptac_validation,8,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,6,True,supported_or_linked_qualitative_hpa_evidence,moderate,True,available,110,-6.0557619525008536e-18,0.0,clinical_stage_spearman_no_risk_score,0.1033414495596639,0.2826647954936077,inconsistent,True,1.0261591424981429,0.7156852893126491,1.4713207068205034,0.8882970880853414,0.9179069910215194,False,False,False,moderate,CPTAC protein detected but not directionally supportive under the pre-specified Stage 4 expectation.
CD74,ENSG00000019582,dendritic_b_plasma_context,dendritic_b_plasma_cells,higher_in_low_risk,-0.2675066718515191,composite_low_risk_immune_context,True,True,-0.1995264233230855,6.507360601587447e-06,True,False,pending_stage5_hpa_validation,pending_stage5_cptac_validation,1,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,5,True,supported_or_linked_qualitative_hpa_evidence,moderate,True,available,110,-2.4223047810003414e-17,0.0,clinical_stage_spearman_no_risk_score,0.0309519810649549,0.7482136743977927,inconsistent,True,0.7189643745391512,0.4902176229343219,1.0544495906988784,0.0912866385743941,0.3059103336849477,False,False,False,moderate,CPTAC protein detected but not directionally supportive under the pre-specified Stage 4 expectation.
HLA-DRA,ENSG00000204287,dendritic_b_plasma_context,dendritic_b_plasma_cells,higher_in_low_risk,-0.2675066718515191,composite_low_risk_immune_context,True,True,-0.2228561848412466,4.433263007162013e-07,True,False,pending_stage5_hpa_validation,pending_stage5_cptac_validation,2,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,5,True,supported_or_linked_qualitative_hpa_evidence,moderate,True,available,110,0.0,0.0,clinical_stage_spearman_no_risk_score,-0.0206110561706839,0.8307624089606501,consistent,True,0.9155116125007884,0.6231206831199634,1.345103019895154,0.6529366701063994,0.8189711204263926,True,False,False,moderate,CPTAC direction is consistent but not nominally significant; not counted as quantitative support.
HLA-DRB1,ENSG00000196126,dendritic_b_plasma_context,dendritic_b_plasma_cells,higher_in_low_risk,-0.2675066718515191,composite_low_risk_immune_context,True,True,-0.2203022615587069,6.037698654793606e-07,True,False,pending_stage5_hpa_validation,pending_stage5_cptac_validation,3,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,5,True,supported_or_linked_qualitative_hpa_evidence,moderate,True,available,110,7.670631806501082e-17,0.0,clinical_stage_spearman_no_risk_score,-0.0804923435046482,0.4031973757627381,consistent,True,0.867367361355438,0.5957643512645683,1.2627914677133818,0.4577881149551449,0.6994184793834838,True,False,False,moderate,CPTAC direction is consistent but not nominally significant; not counted as quantitative support.
CD79B,ENSG00000007312,dendritic_b_plasma_context,dendritic_b_plasma_cells,higher_in_low_risk,-0.2675066718515191,composite_low_risk_immune_context,True,True,-0.2804952678163612,1.511507705069148e-10,True,False,pending_stage5_hpa_validation,pending_stage5_cptac_validation,6,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,5,True,supported_or_linked_qualitative_hpa_evidence,moderate,False,unavailable_gene_not_in_cptac_matrix,0,,,unavailable_gene_not_in_cptac_matrix,,,unavailable,False,,,,,,False,False,False,moderate,HPA qualitative support only; CPTAC protein abundance unavailable in current run.
XBP1,ENSG00000100219,dendritic_b_plasma_context,dendritic_b_plasma_cells,higher_in_low_risk,-0.2675066718515191,composite_low_risk_immune_context,True,True,-0.1681871397303901,0.0001508364397915,True,False,pending_stage5_hpa_validation,pending_stage5_cptac_validation,9,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,5,True,hpa_record_available_uncertain_ih,moderate,False,unavailable_gene_not_in_cptac_matrix,0,,,unavailable_gene_not_in_cptac_matrix,,,unavailable,False,,,,,,False,False,False,moderate,HPA qualitative support only; CPTAC protein abundance unavailable in current run.
VIM,ENSG00000026025,emt_like_malignant_program,emt_like_tumor_cells,higher_in_high_risk,0.1928320986620591,consistent,True,True,0.019864497326419,0.656717510778741,True,False,pending_stage5_hpa_validation,pending_stage5_cptac_validation,1,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,5,True,supported_or_linked_qualitative_hpa_evidence,moderate,True,available,110,-2.964800122578543e-17,0.0,clinical_stage_spearman_no_risk_score,0.0024170963811547,0.9800061796041496,consistent,True,1.1531704568374797,0.7807964079440237,1.7031355280237106,0.4737996150662309,0.6994184793834838,True,False,False,moderate,CPTAC direction is consistent but not nominally significant; not counted as quantitative support.
FN1,ENSG00000115414,emt_like_malignant_program,emt_like_tumor_cells,higher_in_high_risk,0.1928320986620591,consistent,True,True,0.1781219343019854,5.892178143281831e-05,True,False,pending_stage5_hpa_validation,pending_stage5_cptac_validation,2,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,5,True,supported_or_linked_qualitative_hpa_evidence,moderate,True,available,110,0.0,0.0,clinical_stage_spearman_no_risk_score,0.1281316804620323,0.1822003192626468,consistent,True,1.468477602384866,1.014071319588208,2.1265037547671515,0.0419546386444302,0.2167656329962232,True,False,False,moderate,CPTAC direction is consistent but not nominally significant; not counted as quantitative support.
SNAI1,ENSG00000124216,emt_like_malignant_program,emt_like_tumor_cells,higher_in_high_risk,0.1928320986620591,consistent,True,True,0.2389608997259307,5.802391362178112e-08,True,False,pending_stage5_hpa_validation,pending_stage5_cptac_validation,3,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,5,True,supported_or_linked_qualitative_hpa_evidence,moderate,False,unavailable_gene_not_in_cptac_matrix,0,,,unavailable_gene_not_in_cptac_matrix,,,unavailable,False,,,,,,False,False,False,moderate,HPA qualitative support only; CPTAC protein abundance unavailable in current run.
SNAI2,ENSG00000019549,emt_like_malignant_program,emt_like_tumor_cells,higher_in_high_risk,0.1928320986620591,consistent,True,True,0.2094412277992074,2.155807424913381e-06,True,False,pending_stage5_hpa_validation,pending_stage5_cptac_validation,4,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,5,True,supported_or_linked_qualitative_hpa_evidence,moderate,False,unavailable_gene_not_in_cptac_matrix,0,,,unavailable_gene_not_in_cptac_matrix,,,unavailable,False,,,,,,False,False,False,moderate,HPA qualitative support only; CPTAC protein abundance unavailable in current run.
ZEB1,ENSG00000148516,emt_like_malignant_program,emt_like_tumor_cells,higher_in_high_risk,0.1928320986620591,consistent,True,True,0.0187232703192719,0.6752810606562113,True,False,pending_stage5_hpa_validation,pending_stage5_cptac_validation,5,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,5,True,supported_or_linked_qualitative_hpa_evidence,moderate,True,available,110,2.8260222445003976e-17,0.0,clinical_stage_spearman_no_risk_score,-0.0149581878862417,0.8767430224233219,inconsistent,True,0.662462948817536,0.406338837066286,1.0800275989480044,0.098680752801596,0.3059103336849477,False,False,False,moderate,CPTAC protein detected but not directionally supportive under the pre-specified Stage 4 expectation.
CDH2,ENSG00000170558,emt_like_malignant_program,emt_like_tumor_cells,higher_in_high_risk,0.1928320986620591,consistent,True,True,0.0648645231167467,0.14631530417016,True,False,pending_stage5_hpa_validation,pending_stage5_cptac_validation,7,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,5,True,supported_or_linked_qualitative_hpa_evidence,moderate,True,available,110,-4.693215513188162e-17,0.0,clinical_stage_spearman_no_risk_score,0.0783575852944282,0.415825239001733,consistent,True,1.0738762993303523,0.7585429380834258,1.520296674539234,0.6877875607651956,0.8200543993738871,True,False,False,moderate,CPTAC direction is consistent but not nominally significant; not counted as quantitative support.
ITGA5,ENSG00000161638,emt_like_malignant_program,emt_like_tumor_cells,higher_in_high_risk,0.1928320986620591,consistent,True,True,0.3352851021361869,1.1124479066361236e-14,True,False,pending_stage5_hpa_validation,pending_stage5_cptac_validation,8,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,5,True,supported_or_linked_qualitative_hpa_evidence,moderate,True,available,110,3.6334571715005117e-17,0.0,clinical_stage_spearman_no_risk_score,0.0393713649030777,0.6830008390705021,consistent,True,1.4973675268356883,1.0197296512738778,2.198729347156977,0.0394292876140302,0.2167656329962232,True,False,False,moderate,CPTAC direction is consistent but not nominally significant; not counted as quantitative support.
ZEB2,ENSG00000169554,emt_like_malignant_program,emt_like_tumor_cells,higher_in_high_risk,0.1928320986620591,consistent,True,True,-0.0819280861972916,0.0663618960400668,False,False,pending_stage5_hpa_validation,pending_stage5_cptac_validation,6,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,3,True,supported_or_linked_qualitative_hpa_evidence,moderate,True,available,110,2.1952137077815595e-16,0.0,clinical_stage_spearman_no_risk_score,-0.2489488467053374,0.0087262505731456,inconsistent,True,0.7279956152954458,0.4844617331971336,1.0939514508026993,0.1265527526358224,0.3269279443092081,False,False,False,moderate,CPTAC protein detected but not directionally supportive under the pre-specified Stage 4 expectation.
CA9,ENSG00000107159,hypoxia,hypoxia_tumor_cells,higher_in_high_risk,0.3538945609213246,consistent,True,True,0.1319680191452327,0.0030233914181945,True,True,pending_stage5_hpa_validation,pending_stage5_cptac_validation,1,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,6,True,supported_or_linked_qualitative_hpa_evidence,moderate,True,available,110,-1.602253683265851e-17,0.0,clinical_stage_spearman_no_risk_score,0.0286005310684353,0.7667727228707908,consistent,True,1.0912366763391734,0.7391445453223855,1.6110481925675135,0.6604605809890263,0.8189711204263926,True,False,False,moderate,CPTAC direction is consistent but not nominally significant; not counted as quantitative support.
SLC2A1,ENSG00000117394,hypoxia,hypoxia_tumor_cells,higher_in_high_risk,0.3538945609213246,consistent,True,True,0.5213894964494951,2.0851171865628745e-36,True,True,pending_stage5_hpa_validation,pending_stage5_cptac_validation,4,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,6,True,supported_or_linked_qualitative_hpa_evidence,moderate,True,available,110,5.752973854875811e-17,0.0,clinical_stage_spearman_no_risk_score,0.0498387069720953,0.6051121312458104,consistent,True,1.4730941342525152,0.9742398901432794,2.2273839845030667,0.066315506567001,0.2936829576538615,True,False,False,moderate,CPTAC direction is consistent but not nominally significant; not counted as quantitative support.
EGLN3,ENSG00000129521,hypoxia,hypoxia_tumor_cells,higher_in_high_risk,0.3538945609213246,consistent,True,True,0.2917761878737063,2.5006514920723017e-11,True,True,pending_stage5_hpa_validation,pending_stage5_cptac_validation,5,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,6,True,supported_or_linked_qualitative_hpa_evidence,moderate,False,unavailable_gene_not_in_cptac_matrix,0,,,unavailable_gene_not_in_cptac_matrix,,,unavailable,False,,,,,,False,False,False,moderate,HPA qualitative support only; CPTAC protein abundance unavailable in current run.
VEGFA,ENSG00000112715,hypoxia,hypoxia_tumor_cells,higher_in_high_risk,0.3538945609213246,consistent,True,True,0.1028563017644465,0.0210431565255099,True,False,pending_stage5_hpa_validation,pending_stage5_cptac_validation,2,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,5,True,supported_or_linked_qualitative_hpa_evidence,moderate,True,available,110,7.266914343001025e-17,0.0,clinical_stage_spearman_no_risk_score,0.1578697678235405,0.09952018987887,consistent,True,1.783471740125382,1.1934139763070075,2.6652708204982503,0.0047628843477128,0.0738247073895499,True,False,False,moderate,CPTAC direction is consistent but not nominally significant; not counted as quantitative support.
LDHA,ENSG00000134333,hypoxia,hypoxia_tumor_cells,higher_in_high_risk,0.3538945609213246,consistent,True,True,0.3880041700093501,1.6128853463650904e-19,True,False,pending_stage5_hpa_validation,pending_stage5_cptac_validation,3,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,5,True,supported_or_linked_qualitative_hpa_evidence,moderate,True,available,110,2.220446049250313e-17,0.0,clinical_stage_spearman_no_risk_score,0.2904763274457227,0.0020811457342167,consistent,True,1.716727754206628,1.1915675258992977,2.473342146379041,0.0037222707651224,0.0738247073895499,True,True,True,strong,HPA qualitative evidence plus CPTAC quantitative direction support; orthogonal support only.
BNIP3,ENSG00000176171,hypoxia,hypoxia_tumor_cells,higher_in_high_risk,0.3538945609213246,consistent,True,True,0.0210685234070816,0.6373590830961551,True,False,pending_stage5_hpa_validation,pending_stage5_cptac_validation,6,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,5,True,supported_or_linked_qualitative_hpa_evidence,moderate,True,available,110,1.5896375125314742e-17,0.0,clinical_stage_spearman_no_risk_score,0.0267292844418792,0.781637153621577,consistent,True,1.1252885828351162,0.7873722895733888,1.608228294832617,0.5170559557255836,0.7285788467042313,True,False,False,moderate,CPTAC direction is consistent but not nominally significant; not counted as quantitative support.
TOP2A,ENSG00000131747,proliferation,proliferative_tumor_cells,higher_in_high_risk,0.3489084464942464,consistent,True,True,0.3008169914302838,5.576846533255916e-12,True,True,pending_stage5_hpa_validation,pending_stage5_cptac_validation,2,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,6,True,supported_or_linked_qualitative_hpa_evidence,moderate,True,available,110,3.027880976250427e-17,0.0,clinical_stage_spearman_no_risk_score,0.1241141335924998,0.1964087091051807,consistent,True,1.3712075348369954,0.9513566903558396,1.976346119866449,0.0905251613729257,0.3059103336849477,True,False,False,moderate,CPTAC direction is consistent but not nominally significant; not counted as quantitative support.
MKI67,ENSG00000148773,proliferation,proliferative_tumor_cells,higher_in_high_risk,0.3489084464942464,consistent,True,True,0.4020407153465264,5.79350863840707e-21,True,False,pending_stage5_hpa_validation,pending_stage5_cptac_validation,1,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,5,True,supported_or_linked_qualitative_hpa_evidence,moderate,True,available,110,-2.8260222445003976e-17,0.0,clinical_stage_spearman_no_risk_score,0.2695624776853869,0.0044020670895033,consistent,True,1.5204926995643626,1.0305426006113396,2.243379408145822,0.0347201460364616,0.2167656329962232,True,True,True,strong,HPA qualitative evidence plus CPTAC quantitative direction support; orthogonal support only.
PCNA,ENSG00000132646,proliferation,proliferative_tumor_cells,higher_in_high_risk,0.3489084464942464,consistent,True,True,0.2332077540448826,1.2204219521334308e-07,True,False,pending_stage5_hpa_validation,pending_stage5_cptac_validation,3,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,5,True,supported_or_linked_qualitative_hpa_evidence,moderate,True,available,110,1.4130111222501988e-17,0.0,clinical_stage_spearman_no_risk_score,0.1859878950721726,0.0517288380895666,consistent,True,1.1798749481968438,0.7805322655236782,1.783532795339995,0.4326689117840743,0.6994184793834838,True,False,False,moderate,CPTAC direction is consistent but not nominally significant; not counted as quantitative support.
MCM2,ENSG00000073111,proliferation,proliferative_tumor_cells,higher_in_high_risk,0.3489084464942464,consistent,True,True,0.2832225957478427,9.856050680431e-11,True,False,pending_stage5_hpa_validation,pending_stage5_cptac_validation,4,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,5,True,supported_or_linked_qualitative_hpa_evidence,moderate,True,available,110,-2.0185873175002845e-18,0.0,clinical_stage_spearman_no_risk_score,0.140914696346528,0.1420009470325696,consistent,True,1.286588066035099,0.8744031791102301,1.8930727737613384,0.2009440630396463,0.4449475681592168,True,False,False,moderate,CPTAC direction is consistent but not nominally significant; not counted as quantitative support.
MCM5,ENSG00000100297,proliferation,proliferative_tumor_cells,higher_in_high_risk,0.3489084464942464,consistent,True,True,0.2893708298815255,3.694828209162228e-11,True,False,pending_stage5_hpa_validation,pending_stage5_cptac_validation,5,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,5,True,supported_or_linked_qualitative_hpa_evidence,moderate,True,available,110,1.6148698540002276e-17,0.0,clinical_stage_spearman_no_risk_score,0.1439790486623853,0.1334473239460432,consistent,True,1.2659305717748328,0.8582572295362598,1.8672493017274945,0.234371608799995,0.4540949920499905,True,False,False,moderate,CPTAC direction is consistent but not nominally significant; not counted as quantitative support.
CCNB1,ENSG00000134057,proliferation,proliferative_tumor_cells,higher_in_high_risk,0.3489084464942464,consistent,True,True,0.3640557527534471,3.289080469557106e-17,True,False,pending_stage5_hpa_validation,pending_stage5_cptac_validation,6,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,5,True,supported_or_linked_qualitative_hpa_evidence,moderate,True,available,110,1.8167285857502558e-17,0.0,clinical_stage_spearman_no_risk_score,0.1229009851562735,0.2008523969412005,consistent,True,1.0161410264704993,0.6553867130278427,1.5754707337691398,0.9429489131070692,0.9429489131070692,True,False,False,moderate,CPTAC direction is consistent but not nominally significant; not counted as quantitative support.
CDK1,ENSG00000170312,proliferation,proliferative_tumor_cells,higher_in_high_risk,0.3489084464942464,consistent,True,True,0.3132400814238077,6.503769752182897e-13,True,False,pending_stage5_hpa_validation,pending_stage5_cptac_validation,7,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,5,True,supported_or_linked_qualitative_hpa_evidence,moderate,True,available,110,2.523234146875356e-17,0.0,clinical_stage_spearman_no_risk_score,0.1935649212849875,0.0427504682171252,consistent,True,1.5392344529651936,1.0423394357104316,2.2730049540726087,0.0301207375827218,0.2167656329962232,True,True,True,strong,HPA qualitative evidence plus CPTAC quantitative direction support; orthogonal support only.
